Timestamp,Vehicle Milage,Fuel added to tank,Price paid,Notes
1/8/2013,110367,12.39,39.39,
1/15/2013,110620,13.9,44.19,
1/22/2013,110844,13.33,42.4,
1/28/2013,111052,12.35,39.27,
2/4/2013,111292,13.03,45.05,
2/11/2013,111529,12.92,44.42,
2/18/2013,111754,13.46,47.91,
2/25/2013,111978,12.87,46.84,
3/2/2013,112214,14.07,50.26,
3/8/2013,112434,13.26,47.19,
3/18/2013,112645,11.05,38.56,
3/23/2013,112819,11.74,40.94,
3/27/2013,113017,13.11,46.13,
4/6/2013,113216,12.74,44.33,
4/6/2013,113450,11.63,42.33,
4/10/2013,113709,13.23,46.03,
4/19/2013,113895,12.44,42.03,
4/26/2013,114084,12.68,42.08,
5/5/2013,114275,13.15,43.38,
5/13/2013,114475,12.41,41.21,
5/20/2013,114663,11.96,40.42,
5/26/2013,114817,10.61,35.76,
5/31/2013,115033,12.78,42.67,
6/10/2013,115263,14.29,48.57,
6/17/2013,115449,12.08,40.82,
6/25/2013,115651,12.98,43.59,
7/2/2013,115837,12.06,39.77,
7/6/2013,116055,13.3,44.67,
7/16/2013,116255,13.4,46.87,
7/22/2013,116499,13.71,48.52,
7/30/2013,116717,11.51,40.29,
8/9/2013,116909,12.88,44.56,
8/19/2013,117269,14.2,48.28,
8/27/2013,117479,13.68,45.13,
9/10/2013,117868,13.14,43.35,
9/22/2013,118076,14.49,46.36,
9/30/2013,118334,14.97,46.87,
10/7/2013,118522,11.68,35.72,
10/14/2013,118737,13.82,43.09,
10/21/2013,118936,13.72,43.62,
10/28/2013,119136,13.17,40.14,
11/4/2013,119319,11.56,35.81,
11/12/2013,119495,12.7,37.84,
11/23/2013,119683,13.22,42.81,
12/1/2013,119842,11.25,36.88,
12/2/2013,120107,12.55,42.16,
12/7/2013,120353,12.46,39.86,
12/19/2013,120505,11.9,37.34,
